symbol,value
‡,0
’,1
Ž,2
ž,3
‡,4
ž,5
™,6
Š,7
›,8
•,9
„,10
•,11
“,12
‰,13
€,14
™,15
Ÿ,16
„,17
Š,18
ˆ,19
–,20
ˆ,21
ˆ,22
†,23
˜,24
Ž,25
‹,26
š,27
‰,28
‡,29
›,30
Š,31
Œ,32
‰,33
‚,34
†,35
…,36
“,37
‚,38
‘,39
™,40
‡,41
Œ,42
‹,43
‹,44
‰,45
‰,46
—,47
†,48
‡,49
Ÿ,50
›,51
•,52
…,53
ƒ,54
œ,55
•,56
†,57
ˆ,58
—,59
–,60
Œ,61
‹,62
†,63
œ,64
˜,65
Š,66
œ,67
ž,68
ž,69
”,70
’,71
Œ,72
ƒ,73
–,74
”,75
’,76
“,77
…,78
‘,79
™,80
˜,81
„,82
…,83
˜,84
š,85
‹,86
…,87
š,88
Œ,89
ž,90
š,91
—,92
œ,93
—,94
’,95
ˆ,96
–,97
–,98
Ÿ,99
“,100
…,101
—,102
†,103
Ž,104
€,105
›,106
š,107
Ž,108
ƒ,109
‹,110
‹,111
”,112
š,113
ˆ,114
ž,115
“,116
„,117
”,118
ˆ,119
•,120
Ž,121
–,122
ƒ,123
‡,124
•,125
‘,126
‹,127
…,128
’,129
€,130
‡,131
ž,132
•,133
”,134
ž,135
•,136
Œ,137
˜,138
„,139
Š,140
‚,141
„,142
ˆ,143
Œ,144
š,145
€,146
‚,147
Œ,148
›,149
˜,150
„,151
š,152
ˆ,153
”,154
”,155
ˆ,156
”,157
Ÿ,158
™,159
‰,160
›,161
’,162
ƒ,163
™,164
—,165
’,166
ƒ,167
˜,168
œ,169
‹,170
„,171
ƒ,172
•,173
Ÿ,174
Œ,175
•,176
…,177
˜,178
š,179
‚,180
—,181
‡,182
•,183
‹,184
‘,185
’,186
„,187
›,188
Œ,189
€,190
“,191
›,192
‚,193
‰,194
…,195
—,196
š,197
™,198
Š,199
‰,200
‡,201
„,202
„,203
Œ,204
„,205
‡,206
ƒ,207
’,208
‹,209
ž,210
š,211
’,212
ˆ,213
’,214
–,215
Ÿ,216
‚,217
œ,218
Ÿ,219
‡,220
Œ,221
€,222
•,223
Š,224
š,225
„,226
š,227
—,228
•,229
”,230
ˆ,231
™,232
€,233
‹,234
‰,235
ƒ,236
ˆ,237
”,238
“,239
–,240
Ž,241
—,242
‹,243
‡,244
˜,245
Ž,246
†,247
‡,248
›,249
ž,250
›,251
Œ,252
”,253
—,254
“,255
‘,256
‰,257
†,258
Ÿ,259
‹,260
‚,261
‡,262
›,263
›,264
˜,265
›,266
“,267
‡,268
œ,269
Ž,270
š,271
˜,272
Ž,273
œ,274
‡,275
Œ,276
“,277
‘,278
Œ,279
š,280
›,281
Š,282
‘,283
”,284
‡,285
‘,286
ž,287
Œ,288
˜,289
‹,290
ž,291
ˆ,292
‡,293
Ž,294
†,295
Œ,296
•,297
ž,298
ž,299
„,300
ž,301
Š,302
–,303
š,304
„,305
Œ,306
„,307
†,308
’,309
ƒ,310
’,311
Ž,312
˜,313
ž,314
–,315
š,316
Œ,317
„,318
Œ,319
‡,320
’,321
“,322
’,323
‡,324
–,325
—,326
ˆ,327
†,328
„,329
–,330
„,331
š,332
™,333
‘,334
™,335
‹,336
ˆ,337
Œ,338
ž,339
š,340
ˆ,341
„,342
™,343
‹,344
Œ,345
Œ,346
—,347
š,348
†,349
”,350
ˆ,351
Œ,352
‰,353
”,354
˜,355
–,356
‰,357
‰,358
’,359
ž,360
‚,361
ˆ,362
ž,363
—,364
„,365
‹,366
Š,367
ž,368
–,369
ž,370
„,371
‰,372
š,373
Ÿ,374
’,375
ƒ,376
„,377
—,378
˜,379
Ÿ,380
‰,381
†,382
“,383
Ž,384
„,385
‡,386
—,387
—,388
…,389
€,390
—,391
€,392
‰,393
€,394
’,395
…,396
ƒ,397
”,398
’,399
Ÿ,400
€,401
‡,402
”,403
ƒ,404
’,405
…,406
ƒ,407
š,408
‚,409
˜,410
ˆ,411
š,412
›,413
‹,414
”,415
‡,416
ž,417
œ,418
ˆ,419
†,420
‡,421
€,422
„,423
œ,424
Ÿ,425
œ,426
‰,427
‘,428
–,429
˜,430
€,431
—,432
Š,433
š,434
”,435
†,436
’,437
†,438
‘,439
„,440
œ,441
‹,442
ƒ,443
–,444
“,445
”,446
†,447
‰,448
š,449
Ÿ,450
ˆ,451
ž,452
˜,453
›,454
”,455
Ž,456
’,457
š,458
˜,459
†,460
†,461
Œ,462
Š,463
‡,464
”,465
š,466
€,467
€,468
š,469
›,470
‹,471
—,472
–,473
Š,474
”,475
‰,476
Š,477
˜,478
™,479
‹,480
Ÿ,481
—,482
‰,483
‘,484
‚,485
‰,486
Ž,487
‰,488
‚,489
˜,490
‹,491
–,492
Š,493
‡,494
‹,495
†,496
›,497
Š,498
˜,499
